matriz A
30.0;-18.0;31.0;-22.0;-13.0;0.0;-10.0;-35.0;11.0;-44.0;-39.0;12.0;-20.0;-18.0;21.0;-10.0;36.0;-16.0;30.0;33.0;
35.0;-24.0;-15.0;26.0;-39.0;35.0;31.0;-20.0;44.0;-18.0;-48.0;4.0;4.0;-15.0;40.0;11.0;-7.0;41.0;24.0;-49.0;
1.0;-50.0;-12.0;-40.0;-49.0;-42.0;-41.0;1.0;-37.0;29.0;-12.0;42.0;-33.0;37.0;-21.0;-29.0;49.0;15.0;-9.0;-8.0;
-15.0;-25.0;-37.0;-38.0;-42.0;9.0;-33.0;38.0;40.0;17.0;5.0;28.0;-11.0;47.0;-5.0;-1.0;-39.0;38.0;2.0;12.0;
-15.0;10.0;-5.0;-24.0;15.0;-36.0;37.0;-43.0;-38.0;11.0;12.0;11.0;-15.0;-28.0;24.0;43.0;-21.0;21.0;-27.0;41.0;
32.0;37.0;21.0;-41.0;43.0;-37.0;-2.0;-27.0;-43.0;29.0;23.0;-10.0;48.0;15.0;-15.0;-29.0;-31.0;-19.0;42.0;-46.0;
-18.0;37.0;-36.0;-46.0;28.0;8.0;-41.0;-23.0;4.0;30.0;25.0;38.0;41.0;-29.0;21.0;-44.0;-14.0;17.0;-10.0;30.0;
-4.0;-40.0;25.0;-7.0;-14.0;-26.0;-3.0;-41.0;-45.0;35.0;7.0;18.0;-29.0;-47.0;-35.0;-36.0;38.0;7.0;46.0;-25.0;
-7.0;47.0;-29.0;12.0;11.0;15.0;-20.0;11.0;-37.0;6.0;42.0;15.0;34.0;-49.0;4.0;20.0;16.0;-48.0;-48.0;40.0;
-34.0;-2.0;7.0;-21.0;-14.0;-8.0;-25.0;-48.0;38.0;-13.0;-1.0;29.0;26.0;-35.0;4.0;10.0;-11.0;-15.0;39.0;37.0;
2.0;33.0;3.0;-30.0;31.0;49.0;-16.0;23.0;-22.0;-41.0;-20.0;-21.0;1.0;3.0;10.0;-42.0;31.0;-38.0;-4.0;28.0;
25.0;-47.0;-11.0;-17.0;-33.0;44.0;-41.0;46.0;-40.0;-44.0;-3.0;-12.0;-13.0;-25.0;-32.0;-28.0;-49.0;-14.0;18.0;34.0;
-5.0;-21.0;-41.0;-30.0;30.0;34.0;48.0;-13.0;34.0;42.0;14.0;3.0;-36.0;4.0;49.0;25.0;-33.0;-45.0;-48.0;35.0;
-24.0;28.0;-18.0;9.0;-14.0;-16.0;-27.0;29.0;-7.0;23.0;21.0;37.0;49.0;36.0;-23.0;10.0;23.0;-30.0;46.0;14.0;
-29.0;-47.0;-12.0;49.0;20.0;26.0;42.0;-1.0;0.0;-25.0;11.0;-47.0;25.0;22.0;-50.0;20.0;22.0;15.0;38.0;18.0;
26.0;-24.0;2.0;-4.0;34.0;25.0;-36.0;28.0;22.0;-20.0;-9.0;-28.0;9.0;-42.0;27.0;6.0;0.0;31.0;-12.0;-43.0;
20.0;-13.0;-27.0;12.0;3.0;-46.0;18.0;-38.0;37.0;4.0;-44.0;41.0;-42.0;-48.0;-36.0;-9.0;-29.0;-14.0;-34.0;-18.0;
37.0;-12.0;-37.0;39.0;1.0;-42.0;14.0;-18.0;-21.0;-12.0;-25.0;39.0;8.0;-48.0;21.0;-44.0;-31.0;27.0;33.0;21.0;
25.0;21.0;-30.0;-28.0;-3.0;16.0;7.0;18.0;-4.0;-36.0;3.0;34.0;17.0;-24.0;-25.0;45.0;-17.0;-35.0;9.0;-19.0;
32.0;25.0;48.0;-34.0;27.0;1.0;-16.0;-43.0;-8.0;-30.0;35.0;3.0;35.0;47.0;-40.0;49.0;-13.0;23.0;-45.0;22.0;
matriz LU
30.00;-0.60;1.03;-0.73;-0.43;0.00;-0.33;-1.17;0.37;-1.47;-1.30;0.40;-0.67;-0.60;0.70;-0.33;1.20;-0.53;1.00;1.10;
35.00;-3.00;17.06;-17.22;7.94;-11.67;-14.22;-6.94;-10.39;-11.11;0.83;3.33;-9.11;-2.00;-5.17;-7.56;16.33;-19.89;3.67;29.17;
1.00;-49.40;829.51;-1.07;0.41;-0.75;-0.90;-0.41;-0.66;-0.62;0.04;0.25;-0.58;-0.07;-0.33;-0.48;1.03;-1.17;0.21;1.73;
