matriz A
-8.0;-6.0;-30.0;29.0;-44.0;4.0;-42.0;-18.0;-49.0;46.0;-49.0;49.0;35.0;-50.0;-12.0;34.0;-10.0;16.0;46.0;18.0;
-46.0;2.0;-45.0;31.0;5.0;-25.0;-22.0;6.0;3.0;-50.0;2.0;18.0;-50.0;28.0;-37.0;16.0;-16.0;40.0;-11.0;-43.0;
12.0;-9.0;48.0;-25.0;46.0;-12.0;-16.0;-48.0;-40.0;-24.0;-46.0;-29.0;33.0;-31.0;15.0;-39.0;-48.0;-5.0;31.0;31.0;
14.0;-41.0;44.0;49.0;27.0;32.0;41.0;22.0;-46.0;27.0;-43.0;-40.0;46.0;44.0;-40.0;-49.0;7.0;-10.0;-41.0;-7.0;
14.0;21.0;-45.0;-43.0;-22.0;-42.0;-44.0;28.0;0.0;14.0;47.0;-25.0;-32.0;-4.0;-30.0;-34.0;-41.0;-47.0;10.0;12.0;
31.0;-11.0;49.0;-19.0;-22.0;31.0;-38.0;40.0;48.0;-48.0;-18.0;45.0;-17.0;16.0;-17.0;-2.0;-25.0;33.0;-50.0;-24.0;
-15.0;-40.0;9.0;8.0;32.0;45.0;-17.0;26.0;39.0;-29.0;-5.0;34.0;-10.0;-44.0;-9.0;-22.0;-17.0;10.0;9.0;28.0;
42.0;-18.0;19.0;-5.0;24.0;-48.0;-44.0;39.0;-47.0;-33.0;38.0;48.0;-36.0;-14.0;-20.0;27.0;19.0;39.0;47.0;-15.0;
-13.0;-9.0;5.0;-40.0;13.0;-22.0;34.0;48.0;34.0;-4.0;-21.0;17.0;36.0;33.0;3.0;5.0;48.0;17.0;-32.0;-24.0;
-21.0;43.0;-14.0;-6.0;-48.0;39.0;46.0;44.0;-23.0;49.0;-6.0;39.0;42.0;48.0;-37.0;14.0;-44.0;10.0;-34.0;-10.0;
-46.0;2.0;-41.0;-37.0;15.0;36.0;-33.0;37.0;-40.0;24.0;5.0;-44.0;-3.0;-7.0;31.0;-4.0;-45.0;27.0;2.0;27.0;
29.0;-1.0;-8.0;-48.0;37.0;2.0;4.0;-33.0;16.0;-43.0;3.0;10.0;-36.0;35.0;-47.0;48.0;42.0;-33.0;-27.0;24.0;
20.0;-16.0;-6.0;-47.0;-7.0;-10.0;42.0;43.0;-34.0;-9.0;-40.0;-36.0;39.0;-15.0;1.0;-9.0;27.0;46.0;-14.0;21.0;
29.0;30.0;-35.0;42.0;35.0;-37.0;17.0;-1.0;-17.0;47.0;-13.0;2.0;47.0;1.0;46.0;-47.0;21.0;21.0;-46.0;-42.0;
7.0;25.0;16.0;26.0;49.0;-48.0;-15.0;-7.0;-7.0;-38.0;44.0;22.0;6.0;21.0;-32.0;0.0;0.0;14.0;-13.0;31.0;
